id,date,total,val
a,1985-02-04,-4.117985046731164,-3569.127603156103
a,1985-02-05,-3.9935705036961786,-3832.447113220228
a,1985-02-06,-3.481505661911014,-3994.627948929345
a,1985-02-07,-4.042980006584624,-3784.3087877201683
a,1985-02-08,-4.110806156968987,-4033.816540561615
a,1985-02-09,-3.73108427111739,-3958.309229419121
a,1985-02-10,-4.723419025447234,-3729.770006332359
a,1985-02-11,-3.6137269644945986,-4220.315327151584
a,1985-02-12,-3.6522136008345805,-3551.2312375972638
a,1985-02-13,-3.9990485416197674,-3592.086521320947
b,1985-02-04,-3.5918931184476257,-3461.291048902788
b,1985-02-05,-3.819621929890957,-3402.0502821902724
b,1985-02-06,-4.5752230936862315,-4469.273199577704
b,1985-02-07,-3.6505361356297557,-5015.850984968106
b,1985-02-08,-3.617295425858195,-3755.895755607392
b,1985-02-09,-3.6847854614920297,-3613.2418980041853
b,1985-02-10,-3.910915163069946,-4326.18649675117
b,1985-02-11,-3.9299452360971094,-3694.476957033524
b,1985-02-12,-4.281915181793986,-3571.9255599280127
b,1985-02-13,-4.112141060624784,-3784.1744513371946
c,1985-02-04,-3.5324033053830197,-3875.034142635945
c,1985-02-05,-3.643107875901269,-3939.85321519592
c,1985-02-06,-3.867214083829667,-3882.3118184274012
c,1985-02-07,-3.878900296119963,-4128.293148088153
c,1985-02-08,-4.087061398717544,-3719.2608661599384
c,1985-02-09,-3.9245676244461873,-4352.4352222761645
c,1985-02-10,-3.398530171290219,-3833.239982097822
c,1985-02-11,-3.5501364480603024,-3705.8396691542926
c,1985-02-12,-3.749070545490675,-4007.9071125535115
c,1985-02-13,-3.787593133215892,-3858.973669335601
d,1985-02-04,-3.7522585504743433,-3725.5311066324543
d,1985-02-05,-3.870404872422971,-4048.3966254787606
d,1985-02-06,-3.8218580397990336,-4721.698105097314
d,1985-02-07,-3.501628633063772,-4834.748796101413
d,1985-02-08,-3.915719237714257,-3942.072910165408
d,1985-02-09,-3.736206066815863,-3670.4798572774844
d,1985-02-10,-4.097416697561118,-3429.818354034052
d,1985-02-11,-4.454600483176637,-4032.0638991595947
d,1985-02-12,-3.4697312937577136,-3817.693430710034
d,1985-02-13,-4.155869384348074,-3587.680806900726
e,1985-02-04,-3.9281405946433625,-3930.45827691204
e,1985-02-05,-3.915437992835665,-3354.894452742069
e,1985-02-06,-3.6405161873169507,-4082.09657515914
e,1985-02-07,-4.444507696503783,-3816.8268351155525
e,1985-02-08,-3.9838907347752643,-4158.400659740017
e,1985-02-09,-3.5516093670257014,-3992.08706832808
e,1985-02-10,-3.400223966876612,-4050.180289546063
e,1985-02-11,-4.0269695838529165,-3631.613245274959
e,1985-02-12,-3.8171743244653706,-3764.6475816488387
e,1985-02-13,-3.789248954363463,-4021.014435962109
f,1985-02-04,-3.883361936660192,-3780.5079486104323
f,1985-02-05,-3.976086709479831,-4025.8937399052597
f,1985-02-06,-3.854507350223444,-3869.6866508916796
f,1985-02-07,-3.7664647571158927,-3704.2346040627267
f,1985-02-08,-3.537854384282316,-3697.0150224885565
f,1985-02-09,-3.747192443060045,-4083.5141365120967
f,1985-02-10,-3.7497278146454716,-3750.8508778030096
f,1985-02-11,-3.547824928040103,-3951.152064942476
f,1985-02-12,-3.969273576826697,-3320.5103173022285
f,1985-02-13,-4.23528851089773,-3655.8208714787534
g,1985-02-04,-3.6909192338503676,-3692.342371616832
g,1985-02-05,-3.6687307332076995,-4010.7150125698504
g,1985-02-06,-4.019502230892131,-3526.852791273298
g,1985-02-07,-3.973790494461149,-3779.276017398557
g,1985-02-08,-4.154303806104457,-3453.489388118872
g,1985-02-09,-3.7746201553560335,-3692.9524241655627
g,1985-02-10,-3.978098840019485,-3541.436379142481
g,1985-02-11,-3.689205492742345,-3581.700881192728
g,1985-02-12,-4.091853620508571,-4339.142719784605
g,1985-02-13,-3.8577607410622847,-4405.329992075222
h,1985-02-04,-3.435740453579425,-3943.4643922860128
h,1985-02-05,-3.5531451744356164,-3897.442342135272
h,1985-02-06,-3.670152081448589,-3634.822398973324
h,1985-02-07,-3.8598440215580387,-3488.0035974860516
h,1985-02-08,-3.3413690667945444,-4226.565713447093
h,1985-02-09,-3.8724102908961706,-4031.623838144075
h,1985-02-10,-3.9393943262180557,-3740.319953684512
h,1985-02-11,-3.92674348644576,-3753.867546236183
h,1985-02-12,-3.9304918480590234,-3762.2159905725816
h,1985-02-13,-3.8181257422650834,-3393.981293973143
i,1985-02-04,-4.267494077911069,-3919.8754966432903
i,1985-02-05,-4.152314475601294,-4641.306131201661
i,1985-02-06,-3.6956492462027426,-3665.774797863653
i,1985-02-07,-3.915313651234212,-3819.547372663324
i,1985-02-08,-4.399349915939178,-4162.592033567876
i,1985-02-09,-3.547218873339943,-3632.203656505405
i,1985-02-10,-3.35223493473281,-3856.43473576871
i,1985-02-11,-3.5299900238713087,-3635.1829480711253
i,1985-02-12,-3.503821087366433,-4103.833043684065
i,1985-02-13,-3.54954117435632,-3784.018027649454
j,1985-02-04,-3.836298574916143,-3886.2826881920564
j,1985-02-05,-4.106823828275875,-3833.2890306788127
j,1985-02-06,-3.7104744154956903,-4321.997751143138
j,1985-02-07,-3.7656111030681556,-3548.627392959129
j,1985-02-08,-3.45613160789785,-3758.013067872099
j,1985-02-09,-3.754415172348296,-3823.189361708409
j,1985-02-10,-4.440734259718659,-3874.9971887325664
j,1985-02-11,-3.7833518360678156,-4051.1385964126766
j,1985-02-12,-4.0095678379633135,-3575.14881741494
j,1985-02-13,-3.6169680020623476,-3695.6577119198023
